group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
.sort,,,,,1290214.0,ns,4
.sort,,,,,2740321.0,ns,8
.sort,,,,,3778764.0,ns,12
.sort,,,,,5205836.0,ns,16
.sort,,,,,6075918.0,ns,20
.sort,,,,,7931100.0,ns,24
.sort,,,,,9349543.0,ns,28
.sort,,,,,9619863.0,ns,32
.sort,,,,,10895843.0,ns,36
.sort,,,,,12253243.0,ns,40
.sort,,,,,13287618.0,ns,44
.sort,,,,,14874345.0,ns,48
.sort,,,,,15672194.0,ns,52
.sort,,,,,16964502.0,ns,56
.sort,,,,,19131647.0,ns,60
.sort,,,,,19499325.0,ns,64
.sort,,,,,20341913.0,ns,68
.sort,,,,,22282690.0,ns,72
.sort,,,,,24402600.0,ns,76
.sort,,,,,24074052.0,ns,80
.sort,,,,,25565191.0,ns,84
.sort,,,,,26882973.0,ns,88
.sort,,,,,27955845.0,ns,92
.sort,,,,,29370628.0,ns,96
.sort,,,,,30053674.0,ns,100
.sort,,,,,31260405.0,ns,104
.sort,,,,,32954194.0,ns,108
.sort,,,,,34160179.0,ns,112
.sort,,,,,36306058.0,ns,116
.sort,,,,,37391605.0,ns,120
.sort,,,,,37789524.0,ns,124
.sort,,,,,39242066.0,ns,128
.sort,,,,,41523006.0,ns,132
.sort,,,,,42170004.0,ns,136
.sort,,,,,42699386.0,ns,140
.sort,,,,,43975541.0,ns,144
.sort,,,,,45902154.0,ns,148
.sort,,,,,47379667.0,ns,152
.sort,,,,,48731310.0,ns,156
.sort,,,,,48423928.0,ns,160
.sort,,,,,51962111.0,ns,164
.sort,,,,,55514672.0,ns,168
.sort,,,,,58050562.0,ns,172
.sort,,,,,53248025.0,ns,176
.sort,,,,,54490948.0,ns,180
.sort,,,,,55427984.0,ns,184
.sort,,,,,56539176.0,ns,188
.sort,,,,,58886345.0,ns,192
.sort,,,,,60925164.0,ns,196
.sort,,,,,61707915.0,ns,200
.sort,,,,,62067334.0,ns,204
.sort,,,,,64247167.0,ns,208
.sort,,,,,65192588.0,ns,212
.sort,,,,,66125606.0,ns,216
.sort,,,,,67734229.0,ns,220
.sort,,,,,70167299.0,ns,224
.sort,,,,,68654929.0,ns,228
.sort,,,,,70845108.0,ns,232
.sort,,,,,72147313.0,ns,236
.sort,,,,,73810059.0,ns,240
.sort,,,,,74752961.0,ns,244
.sort,,,,,76753966.0,ns,248
.sort,,,,,76487548.0,ns,252
.sort,,,,,79937496.0,ns,256
.sort,,,,,79380381.0,ns,260
.sort,,,,,79584814.0,ns,264
.sort,,,,,81739881.0,ns,268
.sort,,,,,83001051.0,ns,272
.sort,,,,,85792385.0,ns,276
.sort,,,,,85480160.0,ns,280
.sort,,,,,97701606.0,ns,284
.sort,,,,,88960282.0,ns,288
.sort,,,,,89589673.0,ns,292
.sort,,,,,90006263.0,ns,296
.sort,,,,,92157603.0,ns,300
.sort,,,,,94202524.0,ns,304
.sort,,,,,94469801.0,ns,308
.sort,,,,,94491238.0,ns,312
.sort,,,,,97973305.0,ns,316
.sort,,,,,97445631.0,ns,320
.sort,,,,,99288204.0,ns,324
.sort,,,,,99460871.0,ns,328
.sort,,,,,103426223.0,ns,332
.sort,,,,,103852200.0,ns,336
.sort,,,,,102852435.0,ns,340
.sort,,,,,106175590.0,ns,344
.sort,,,,,107111730.0,ns,348
.sort,,,,,108663502.0,ns,352
.sort,,,,,108488933.0,ns,356
.sort,,,,,109843020.0,ns,360
.sort,,,,,116560593.0,ns,364
.sort,,,,,115081344.0,ns,368
.sort,,,,,115203288.0,ns,372
.sort,,,,,115909313.0,ns,376
.sort,,,,,116613700.0,ns,380
.sort,,,,,117276506.0,ns,384
.sort,,,,,117908154.0,ns,388
.sort,,,,,120858984.0,ns,392
.sort,,,,,122729339.0,ns,396
.sort,,,,,121668774.0,ns,400
